2.007860000000000014e+02	-1.641729812268008200e-05
2.012489999999999952e+02	-4.114454970138014275e-05
2.017119999999999891e+02	-5.015439968937611360e-04
2.021759999999999877e+02	-4.576639011626556049e-05
2.026390000000000100e+02	-2.794353740652400904e-05
2.031020000000000039e+02	-2.142959866650956890e-05
2.035649999999999977e+02	-2.020729186112501833e-05
2.040279999999999916e+02	-1.999308781980168283e-05
2.044910000000000139e+02	-2.013408784029593044e-05
2.049540000000000077e+02	-2.250383449084855165e-05
2.054159999999999968e+02	-2.445037671558307298e-05
2.058789999999999907e+02	-2.726218146756746152e-05
2.063420000000000130e+02	-2.984327694540699500e-05
2.068050000000000068e+02	-3.280123064280034985e-05
2.072680000000000007e+02	-3.610038268489013449e-05
2.077309999999999945e+02	-3.890577509668921856e-05
2.081930000000000121e+02	-4.291743855826959069e-05
2.086560000000000059e+02	-4.542543918968987131e-05
2.091189999999999998e+02	-4.956405741216084269e-05
2.095819999999999936e+02	-5.347888492955323150e-05
2.100440000000000111e+02	-5.724872790641389399e-05
2.105070000000000050e+02	-6.113916822549626232e-05
2.109699999999999989e+02	-6.377815964387189142e-05
2.114319999999999879e+02	-6.899149530849119311e-05
2.118950000000000102e+02	-7.437261722796983747e-05
2.123569999999999993e+02	-7.823010452512602346e-05
2.128199999999999932e+02	-8.219792758443951485e-05
2.132820000000000107e+02	-8.407141924142937550e-05
2.137450000000000045e+02	-9.027634000745087895e-05
2.142069999999999936e+02	-9.313974485836119203e-05
2.146699999999999875e+02	-9.857368319616835960e-05
2.151320000000000050e+02	-1.021959727299684119e-04
2.155939999999999941e+02	-1.069286186201728455e-04
2.160569999999999879e+02	-1.096242117619121431e-04
2.165190000000000055e+02	-1.128047134703344883e-04
2.169809999999999945e+02	-1.142265421732714073e-04
2.174439999999999884e+02	-1.193467813155572475e-04
2.179060000000000059e+02	-1.216473070168148127e-04
2.183679999999999950e+02	-1.311723262909112657e-04
2.188300000000000125e+02	-1.365132038874881904e-04
2.192920000000000016e+02	-1.423901952387240293e-04
2.197549999999999955e+02	-1.448770654634198569e-04
2.202170000000000130e+02	-1.439307168933986612e-04
2.206790000000000020e+02	-1.495113658439819657e-04
2.211409999999999911e+02	-1.528150669510671062e-04
2.216030000000000086e+02	-1.581801904310945926e-04
2.220649999999999977e+02	-1.612794776665881532e-04
2.225269999999999868e+02	-1.649100462507998395e-04
2.229890000000000043e+02	-1.704998001954957296e-04
2.234509999999999934e+02	-1.670357115445545890e-04
2.239130000000000109e+02	-1.690639729815442149e-04
2.243750000000000000e+02	-1.700338840960257617e-04
2.248369999999999891e+02	-1.809894963085680530e-04
2.252990000000000066e+02	-1.834317508424386652e-04
2.257599999999999909e+02	-1.871006532370766756e-04
2.262220000000000084e+02	-1.868052506794175293e-04
2.266839999999999975e+02	-1.921820451997806832e-04
2.271459999999999866e+02	-1.951530822845093860e-04
2.276069999999999993e+02	-1.952119387427254655e-04
2.280689999999999884e+02	-1.932122568598531361e-04
2.285310000000000059e+02	-1.945220563498393238e-04
2.289919999999999902e+02	-1.965990762512629731e-04
2.294540000000000077e+02	-1.956217391254345115e-04
2.299159999999999968e+02	-1.934015343670664926e-04
2.303770000000000095e+02	-1.978778907530916241e-04
2.308389999999999986e+02	-1.998416879246730908e-04
2.313000000000000114e+02	-2.025274813132373747e-04
2.317620000000000005e+02	-2.032156002466515080e-04
2.322230000000000132e+02	-2.058995270714202562e-04
2.326850000000000023e+02	-2.111782834116324766e-04
2.331459999999999866e+02	-2.077367556822680677e-04
2.336080000000000041e+02	-2.066884215045631428e-04
2.340689999999999884e+02	-2.016258925176847398e-04
2.345300000000000011e+02	-2.008111219248487833e-04
2.349919999999999902e+02	-2.003613639818552911e-04
2.354530000000000030e+02	-1.983453447817956150e-04
2.359139999999999873e+02	-1.970830896526429179e-04
2.363760000000000048e+02	-1.953625238265811824e-04
2.368369999999999891e+02	-1.946399900657059645e-04
2.372980000000000018e+02	-1.919923783496550599e-04
2.377589999999999861e+02	-1.924291047282040653e-04
2.382199999999999989e+02	-1.915527635634851433e-04
2.386810000000000116e+02	-1.920625494428186675e-04
2.391430000000000007e+02	-1.900113799393025611e-04
2.396040000000000134e+02	-1.819924903193655824e-04
2.400649999999999977e+02	-1.751945946409830908e-04
2.405260000000000105e+02	-1.667866753994718494e-04
2.409869999999999948e+02	-1.664756845430786559e-04
2.414480000000000075e+02	-1.614425460351123927e-04
2.419089999999999918e+02	-1.597246144200818198e-04
2.423700000000000045e+02	-1.500784357611735325e-04
2.428309999999999889e+02	-1.447182344943819530e-04
2.432909999999999968e+02	-1.357140496912310243e-04
2.437520000000000095e+02	-1.316591948467075155e-04
2.442129999999999939e+02	-1.224762831666459720e-04
2.446740000000000066e+02	-1.141193682358835677e-04
2.451349999999999909e+02	-1.053928752656865309e-04
2.455949999999999989e+02	-9.746733515022925883e-05
2.460560000000000116e+02	-8.959499567445027382e-05
2.465169999999999959e+02	-7.889365880686819495e-05
2.469780000000000086e+02	-6.965426925742829168e-05
2.474379999999999882e+02	-5.943447690226315045e-05
2.478990000000000009e+02	-5.069271910206844795e-05
2.483590000000000089e+02	-4.043044913029937549e-05
2.488199999999999932e+02	-2.971955487637563224e-05
2.492810000000000059e+02	-1.801938019179877710e-05
2.497410000000000139e+02	-6.703573686143696721e-06
2.502019999999999982e+02	5.229686148229554640e-06
2.506620000000000061e+02	1.788130423659491520e-05
2.511229999999999905e+02	3.040924167857850650e-05
2.515829999999999984e+02	4.498387241652192437e-05
2.520430000000000064e+02	5.793579482799103548e-05
